Id,Label,size,modularity_class,organization,clustering,triangles,degree,color,Size,Color
18,Thoughtbot,1,2,Thoughtbot,0,0,0,"#BFBFBF",10,"#bfbfbf"
19,Citrix,1,0,Citrix,8,12,6,"#BFBFBF",10,"#bfbfbf"
20,Optimizely,1,1,Optimizely,391667,47,16,"#BFBFBF",10,"#bfbfbf"
21,Uwaterloo,1,1,Uwaterloo,333333,1,3,"#BFBFBF",10,"#bfbfbf"
23,zulip,1,4,zulip,5,14,8,"#BFBFBF",10,"#bfbfbf"
25,uwaterloo,1,4,uwaterloo,0,0,1,"#BFBFBF",10,"#bfbfbf"
28,Zulip,1,4,Zulip,1,3,3,"#BFBFBF",10,"#bfbfbf"
29,twinsunsolutions,1,4,twinsunsolutions,6,9,6,"#BFBFBF",10,"#bfbfbf"
30,Oppo,1,4,Oppo,1,3,3,"#BFBFBF",10,"#bfbfbf"
31,NYU,1,4,NYU,1,3,3,"#BFBFBF",10,"#bfbfbf"
32,diagnosia,1,4,diagnosia,0,0,1,"#BFBFBF",10,"#bfbfbf"
33,Sharezone,1,4,Sharezone,8,8,5,"#BFBFBF",10,"#bfbfbf"
36,Samsung,1,4,Samsung,0,0,1,"#BFBFBF",10,"#bfbfbf"
38,Sage,1,4,Sage,1,3,3,"#BFBFBF",10,"#bfbfbf"
40,Whimsical,1,1,Whimsical,244444,11,10,"#BFBFBF",10,"#bfbfbf"
41,Webflow,1,1,Webflow,611111,22,9,"#BFBFBF",10,"#bfbfbf"
42,Stanford,1,1,Stanford,642857,18,8,"#BFBFBF",10,"#bfbfbf"
43,Sberbank,1,1,Sberbank,666667,2,3,"#BFBFBF",10,"#bfbfbf"
44,Equin,1,1,Equin,0,0,1,"#BFBFBF",10,"#bfbfbf"
46,Idealist,1,1,Idealist,0,0,1,"#BFBFBF",10,"#bfbfbf"
47,Ardentacademy,1,1,Ardentacademy,0,0,1,"#BFBFBF",10,"#bfbfbf"
48,Smartface,1,1,Smartface,0,0,1,"#BFBFBF",10,"#bfbfbf"
49,isquaredsoftware.com,1,1,isquaredsoftware.com,583333,21,9,"#BFBFBF",10,"#bfbfbf"
50,Originate,1,1,Originate,1,1,2,"#BFBFBF",10,"#bfbfbf"
51,Khanacademy,1,1,Khanacademy,1,1,2,"#BFBFBF",10,"#bfbfbf"
52,synapsestudios,1,1,synapsestudios,1,15,6,"#BFBFBF",10,"#bfbfbf"
53,Socialtables,1,1,Socialtables,1,1,2,"#BFBFBF",10,"#bfbfbf"
54,Github,1,1,Github,1,1,2,"#BFBFBF",10,"#bfbfbf"
55,Parse,1,1,Parse,304762,32,15,"#BFBFBF",10,"#bfbfbf"
56,Columbia,1,1,Columbia,904762,19,7,"#BFBFBF",10,"#bfbfbf"
57,Vmware,1,1,Vmware,1,1,2,"#BFBFBF",10,"#bfbfbf"
58,Kensho,1,1,Kensho,1,1,2,"#BFBFBF",10,"#bfbfbf"
59,NoredLink,1,3,NoredLink,0,0,0,"#BFBFBF",10,"#bfbfbf"
60,Humu,1,1,Humu,0,0,1,"#BFBFBF",10,"#bfbfbf"
61,VCNC,1,1,VCNC,0,0,1,"#BFBFBF",10,"#bfbfbf"
62,Atlassian,1,1,Atlassian,0,0,1,"#BFBFBF",10,"#bfbfbf"
64,Zeuss,1,1,Zeuss,1,1,2,"#BFBFBF",10,"#bfbfbf"
65,Tracxn,1,1,Tracxn,0,0,1,"#BFBFBF",10,"#bfbfbf"
66,Thoughtworks,1,1,Thoughtworks,0,0,1,"#BFBFBF",10,"#bfbfbf"
68,Codesandbox.io,1,1,Codesandbox.io,1,15,6,"#BFBFBF",10,"#bfbfbf"
69,Callstack,1,1,Callstack,0,0,1,"#BFBFBF",10,"#bfbfbf"
72,Hendeca,1,1,Hendeca,1,1,2,"#BFBFBF",10,"#bfbfbf"
73,Lectra,1,1,Lectra,75,21,8,"#BFBFBF",10,"#bfbfbf"
74,Screen,1,1,Screen,0,0,1,"#BFBFBF",10,"#bfbfbf"
75,Practo,1,1,Practo,0,0,1,"#BFBFBF",10,"#bfbfbf"
78,MobileIron,1,1,MobileIron,154794,1219,126,"#BFBFBF",10,"#bfbfbf"
81,Near,1,1,Near,31677,765,70,"#BFBFBF",10,"#bfbfbf"
87,Codeplay,1,1,Codeplay,508788,550,47,"#BFBFBF",10,"#bfbfbf"
90,etacompute,1,1,etacompute,1,21,7,"#BFBFBF",10,"#bfbfbf"
92,iisc,1,4,iisc,745455,41,11,"#BFBFBF",10,"#bfbfbf"
94,tu-dresden,1,1,tu-dresden,551282,430,40,"#BFBFBF",10,"#bfbfbf"
95,ucsd,1,1,ucsd,576577,384,37,"#BFBFBF",10,"#bfbfbf"
96,stylight,1,1,stylight,631579,120,20,"#BFBFBF",10,"#bfbfbf"
98,legatohealth,1,1,legatohealth,764706,117,18,"#BFBFBF",10,"#bfbfbf"
100,xtech,1,1,xtech,75641,59,13,"#BFBFBF",10,"#bfbfbf"
101,hello,1,4,hello,5,189,28,"#BFBFBF",10,"#bfbfbf"
102,naml,1,1,naml,650794,410,36,"#BFBFBF",10,"#bfbfbf"
103,Broadcom,1,4,Broadcom,747253,68,14,"#BFBFBF",10,"#bfbfbf"
105,sparkfun,1,1,sparkfun,647619,68,15,"#BFBFBF",10,"#bfbfbf"
108,himax,1,1,himax,80303,53,12,"#BFBFBF",10,"#bfbfbf"
112,maxar,1,1,maxar,893281,226,23,"#BFBFBF",10,"#bfbfbf"
113,pgroup,1,4,pgroup,1,28,8,"#BFBFBF",10,"#bfbfbf"
115,mathworks,1,1,mathworks,861111,31,9,"#BFBFBF",10,"#bfbfbf"
116,fraunhofer,1,4,fraunhofer,709091,39,11,"#BFBFBF",10,"#bfbfbf"
117,Bluewin,1,4,Bluewin,833333,100,16,"#BFBFBF",10,"#bfbfbf"
118,Calpoly,1,4,Calpoly,1,36,9,"#BFBFBF",10,"#bfbfbf"
121,Adalogics,1,4,Adalogics,888889,40,10,"#BFBFBF",10,"#bfbfbf"
125,sensiml,1,1,sensiml,833333,30,9,"#BFBFBF",10,"#bfbfbf"
126,mellanox,1,1,mellanox,1,15,6,"#BFBFBF",10,"#bfbfbf"
127,noble,1,1,noble,939394,62,12,"#BFBFBF",10,"#bfbfbf"
129,unifr,1,4,unifr,1,6,4,"#BFBFBF",10,"#bfbfbf"
