Source,Target,Type,Id,Label,Weight,size,Color
78,268,Undirected,406,,2,1,"#999999"
9,95,Undirected,407,,3673,208,"#999999"
9,94,Undirected,408,,7438,309,"#999999"
78,160,Undirected,409,,5,1,"#999999"
9,88,Undirected,410,,5890,383,"#999999"
9,86,Undirected,411,,11505,614,"#999999"
78,297,Undirected,412,,1,1,"#999999"
9,81,Undirected,413,,22242,464,"#999999"
78,220,Undirected,414,,52,2,"#999999"
78,248,Undirected,415,,1,1,"#999999"
77,220,Undirected,416,,693,10,"#999999"
78,300,Undirected,417,,10,2,"#999999"
77,134,Undirected,418,,77,6,"#999999"
77,331,Undirected,419,,61,3,"#999999"
77,330,Undirected,420,,24,2,"#999999"
77,329,Undirected,421,,2,2,"#999999"
77,305,Undirected,422,,169,7,"#999999"
78,165,Undirected,423,,15,1,"#999999"
77,328,Undirected,424,,9,2,"#999999"
77,83,Undirected,425,,203353,211,"#999999"
77,85,Undirected,426,,8588,24,"#999999"
77,181,Undirected,427,,86,12,"#999999"
77,322,Undirected,428,,5,1,"#999999"
77,321,Undirected,429,,60,3,"#999999"
77,320,Undirected,430,,101,4,"#999999"
77,319,Undirected,431,,22,1,"#999999"
78,190,Undirected,432,,21,1,"#999999"
77,324,Undirected,433,,9,1,"#999999"
78,211,Undirected,434,,6,1,"#999999"
77,318,Undirected,435,,15,2,"#999999"
77,316,Undirected,436,,73,2,"#999999"
77,26,Undirected,437,,441,7,"#999999"
77,315,Undirected,438,,17,1,"#999999"
77,99,Undirected,439,,1227,4,"#999999"
77,165,Undirected,440,,189,8,"#999999"
77,110,Undirected,441,,9265,12,"#999999"
77,300,Undirected,442,,97,7,"#999999"
77,71,Undirected,443,,18819,35,"#999999"
78,320,Undirected,444,,4,1,"#999999"
77,312,Undirected,445,,4,1,"#999999"
77,310,Undirected,446,,1,1,"#999999"
77,309,Undirected,447,,171,3,"#999999"
78,296,Undirected,448,,2,1,"#999999"
77,123,Undirected,449,,1184,5,"#999999"
77,306,Undirected,450,,24,2,"#999999"
78,286,Undirected,451,,1,1,"#999999"
77,114,Undirected,452,,546,4,"#999999"
77,304,Undirected,453,,2,1,"#999999"
78,331,Undirected,454,,1,1,"#999999"
77,303,Undirected,455,,208,4,"#999999"
77,230,Undirected,456,,80,4,"#999999"
77,301,Undirected,457,,17,1,"#999999"
77,152,Undirected,458,,67,6,"#999999"
77,299,Undirected,459,,20,3,"#999999"
78,117,Undirected,460,,2,1,"#999999"
78,120,Undirected,461,,28,1,"#999999"
77,298,Undirected,462,,5,1,"#999999"
77,297,Undirected,463,,71,2,"#999999"
77,296,Undirected,464,,313,3,"#999999"
77,292,Undirected,465,,11,1,"#999999"
77,291,Undirected,466,,4,1,"#999999"
77,317,Undirected,467,,1,1,"#999999"
77,288,Undirected,468,,6,1,"#999999"
77,287,Undirected,469,,554,2,"#999999"
77,166,Undirected,470,,144,4,"#999999"
77,311,Undirected,471,,16,1,"#999999"
77,37,Undirected,472,,6842,24,"#999999"
77,80,Undirected,473,,232695,113,"#999999"
77,281,Undirected,474,,11,1,"#999999"
77,279,Undirected,475,,2,1,"#999999"
77,278,Undirected,476,,19,2,"#999999"
77,277,Undirected,477,,2,1,"#999999"
77,276,Undirected,478,,22,1,"#999999"
77,39,Undirected,479,,2761,5,"#999999"
77,271,Undirected,480,,12,1,"#999999"
77,79,Undirected,481,,66480,52,"#999999"
78,147,Undirected,482,,48,1,"#999999"
9,100,Undirected,483,,3708,78,"#999999"
77,160,Undirected,484,,351,7,"#999999"
77,269,Undirected,485,,7,1,"#999999"
77,225,Undirected,486,,27,2,"#999999"
77,175,Undirected,487,,138,5,"#999999"
77,27,Undirected,488,,1437,18,"#999999"
78,235,Undirected,489,,3,1,"#999999"
77,216,Undirected,490,,101,4,"#999999"
9,216,Undirected,491,,697,118,"#999999"
77,93,Undirected,492,,18082,13,"#999999"
77,270,Undirected,493,,1,1,"#999999"
77,34,Undirected,494,,5,1,"#999999"
77,264,Undirected,495,,65,1,"#999999"
77,263,Undirected,496,,7,1,"#999999"
77,196,Undirected,497,,587,8,"#999999"
77,261,Undirected,498,,12,1,"#999999"
77,260,Undirected,499,,33,2,"#999999"
77,259,Undirected,500,,76,1,"#999999"
77,258,Undirected,501,,37,1,"#999999"
77,256,Undirected,502,,5,1,"#999999"
77,255,Undirected,503,,62,1,"#999999"
77,254,Undirected,504,,10,1,"#999999"
77,253,Undirected,505,,17,1,"#999999"
77,252,Undirected,506,,1,1,"#999999"
77,251,Undirected,507,,2,1,"#999999"
77,250,Undirected,508,,160,4,"#999999"
78,114,Undirected,509,,22,1,"#999999"
77,294,Undirected,510,,5,1,"#999999"
9,115,Undirected,511,,2028,87,"#999999"
77,282,Undirected,512,,26,3,"#999999"
9,101,Undirected,513,,3645,259,"#999999"
78,288,Undirected,514,,1,1,"#999999"
9,76,Undirected,515,,6561,340,"#999999"
77,248,Undirected,516,,19,2,"#999999"
77,247,Undirected,517,,40,2,"#999999"
77,97,Undirected,518,,3802,21,"#999999"
77,246,Undirected,519,,3,1,"#999999"
77,161,Undirected,520,,44,2,"#999999"
77,86,Undirected,521,,4110,9,"#999999"
77,245,Undirected,522,,1,1,"#999999"
77,84,Undirected,523,,19871,52,"#999999"
77,244,Undirected,524,,3,1,"#999999"
77,242,Undirected,525,,54,1,"#999999"
77,22,Undirected,526,,1,1,"#999999"
77,189,Undirected,527,,218,8,"#999999"
77,237,Undirected,528,,9,2,"#999999"
77,234,Undirected,529,,78,2,"#999999"
77,235,Undirected,530,,72,1,"#999999"
77,307,Undirected,531,,16,1,"#999999"
77,124,Undirected,532,,2015,14,"#999999"
78,224,Undirected,533,,1,1,"#999999"
77,267,Undirected,534,,54,1,"#999999"
77,91,Undirected,535,,1818,8,"#999999"
77,289,Undirected,536,,22,1,"#999999"
77,231,Undirected,537,,3,1,"#999999"
78,183,Undirected,538,,1,1,"#999999"
77,325,Undirected,539,,9,3,"#999999"
77,283,Undirected,540,,171,5,"#999999"
9,96,Undirected,541,,3243,145,"#999999"
77,159,Undirected,542,,163,3,"#999999"
78,291,Undirected,543,,3,1,"#999999"
77,226,Undirected,544,,73,3,"#999999"
77,236,Undirected,545,,6,1,"#999999"
77,308,Undirected,546,,14,1,"#999999"
77,183,Undirected,547,,29,3,"#999999"
77,224,Undirected,548,,19,2,"#999999"
78,26,Undirected,549,,68,2,"#999999"
77,140,Undirected,550,,203,6,"#999999"
77,223,Undirected,551,,14,1,"#999999"
77,222,Undirected,552,,41,2,"#999999"
77,266,Undirected,553,,50,3,"#999999"
9,117,Undirected,554,,526,104,"#999999"
77,217,Undirected,555,,30,2,"#999999"
77,215,Undirected,556,,147,3,"#999999"
78,148,Undirected,557,,15,1,"#999999"
77,214,Undirected,558,,61,2,"#999999"
77,145,Undirected,559,,1850,5,"#999999"
77,192,Undirected,560,,7,2,"#999999"
77,213,Undirected,561,,4,1,"#999999"
77,212,Undirected,562,,20,2,"#999999"
77,211,Undirected,563,,223,3,"#999999"
77,210,Undirected,564,,246,1,"#999999"
77,209,Undirected,565,,336,3,"#999999"
77,122,Undirected,566,,2160,6,"#999999"
77,206,Undirected,567,,77,1,"#999999"
77,205,Undirected,568,,4,1,"#999999"
77,174,Undirected,569,,171,5,"#999999"
77,195,Undirected,570,,33,2,"#999999"
77,199,Undirected,571,,28,1,"#999999"
77,197,Undirected,572,,83,1,"#999999"
77,313,Undirected,573,,7,1,"#999999"
77,194,Undirected,574,,8,1,"#999999"
77,106,Undirected,575,,2224,9,"#999999"
77,111,Undirected,576,,1469,6,"#999999"
77,107,Undirected,577,,641,2,"#999999"
77,193,Undirected,578,,59,1,"#999999"
78,149,Undirected,579,,43,1,"#999999"
77,156,Undirected,580,,171,5,"#999999"
77,191,Undirected,581,,176,1,"#999999"
77,190,Undirected,582,,377,3,"#999999"
77,243,Undirected,583,,1,1,"#999999"
77,63,Undirected,584,,27,2,"#999999"
